experiment,classifier,training_shape,sample_length,coverage,k,score,score_type
4.01,Naive Bayes,"(10908, 101346)",200,400,12,0.8250837365091179,species_recall
4.01,Naive Bayes,"(15, 1593)",400,1,1,0.125,species_recall
4.01,Naive Bayes,"(15, 2324)",400,1,2,0.125,species_recall
4.01,Naive Bayes,"(15, 2163)",400,1,4,0.125,species_recall
4.01,Naive Bayes,"(15, 1512)",400,1,6,0.125,species_recall
4.01,Naive Bayes,"(15, 1150)",400,1,8,0.125,species_recall
4.01,Naive Bayes,"(15, 919)",400,1,10,0.125,species_recall
4.01,Naive Bayes,"(15, 759)",400,1,12,0.125,species_recall
4.01,Naive Bayes,"(137, 1600)",400,10,1,0.25,species_recall
4.01,Naive Bayes,"(137, 3200)",400,10,2,0.23529411764705882,species_recall
4.01,Naive Bayes,"(137, 12441)",400,10,4,0.4117647058823529,species_recall
4.01,Naive Bayes,"(137, 12456)",400,10,6,0.3235294117647059,species_recall
4.01,Naive Bayes,"(137, 9833)",400,10,8,0.3382352941176471,species_recall
4.01,Naive Bayes,"(137, 7903)",400,10,10,0.25,species_recall
4.01,Naive Bayes,"(137, 6526)",400,10,12,0.27941176470588236,species_recall
4.01,Naive Bayes,"(1364, 1600)",400,100,1,0.34026745913818723,species_recall
4.01,Naive Bayes,"(1364, 3200)",400,100,2,0.24814264487369986,species_recall
4.01,Naive Bayes,"(1364, 25075)",400,100,4,0.46656760772659733,species_recall
4.01,Naive Bayes,"(1364, 81484)",400,100,6,0.537890044576523,species_recall
4.01,Naive Bayes,"(1364, 82554)",400,100,8,0.4606240713224368,species_recall
4.01,Naive Bayes,"(1364, 68395)",400,100,10,0.4294205052005943,species_recall
4.01,Naive Bayes,"(1364, 56633)",400,100,12,0.3803863298662704,species_recall
4.01,Naive Bayes,"(2727, 1600)",400,200,1,0.44717261904761907,species_recall
4.01,Naive Bayes,"(2727, 3200)",400,200,2,0.21800595238095238,species_recall
4.01,Naive Bayes,"(2727, 25517)",400,200,4,0.47172619047619047,species_recall
4.01,Naive Bayes,"(2727, 117131)",400,200,6,0.6450892857142857,species_recall
4.01,Naive Bayes,"(2727, 136729)",400,200,8,0.5811011904761905,species_recall
4.01,Naive Bayes,"(2727, 115841)",400,200,10,0.5528273809523809,species_recall
4.01,Naive Bayes,"(2727, 96187)",400,200,12,0.5074404761904762,species_recall
4.01,Naive Bayes,"(5454, 1600)",400,400,1,0.45329363602530703,species_recall
4.01,Naive Bayes,"(5454, 3200)",400,400,2,0.3021957573502047,species_recall
4.01,Naive Bayes,"(5454, 25589)",400,400,4,0.49497580945292147,species_recall
4.01,Naive Bayes,"(5454, 149593)",400,400,6,0.7856345366579829,species_recall
4.01,Naive Bayes,"(5454, 202803)",400,400,8,0.7417193896538891,species_recall
4.01,Naive Bayes,"(5454, 176355)",400,400,10,0.7134350576851507,species_recall
4.01,Naive Bayes,"(5454, 146887)",400,400,12,0.6978042426497953,species_recall
